,CreditScore,FirstTimeHomebuyer,MSA,MIP,DTI,OrigUPB,LTV,OrigInterestRate,NumBorrowers,MonthsInRepayment,FirstPayment_Year,Maturity_Year,LTV_range,Repay_range,Credit_range
116,670.5336708,0,42644,30,29,198000,90,6.5,2,11,1999,2029,High,1,Good
117,670.5336708,0,42644,30,37,187000,97,7,1,17,1999,2029,High,1,Good
118,670.5336708,0,43900,0,17,60000,80,7,1,156,1999,2029,High,4,Good
119,670.5336708,0,46060,0,37,194000,75,6.625,2,29,1999,2029,High,1,Good
120,670.5336708,0,46700,30,37,147000,95,7,1,23,1999,2029,High,1,Good
121,670.5336708,0,47644,0,23,104000,52,7.25,2,33,1999,2029,High,1,Good
122,670.5336708,0,47644,30,28,72000,95,7.25,1,43,1999,2029,High,1,Good
123,670.5336708,0,47644,30,33,183000,95,7.375,2,50,1999,2029,High,2,Good
124,670.5336708,0,47894,0,32,154000,80,6.875,1,39,1999,2029,High,1,Good
125,670.5336708,0,47894,0,39,150000,80,6.5,1,48,1999,2029,High,2,Good
126,670.5336708,0,47894,30,27,179000,95,7,2,68,1999,2029,High,2,Good
127,670.5336708,0,49180,0,29,70000,78,6.75,1,118,1999,2029,High,3,Good
128,670.5336708,0,49180,25,30,66000,89,7.625,1,205,1999,2029,High,5,Good
129,670.5336708,0,49420,0,25,72000,80,6.75,2,211,1999,2029,High,5,Good
130,670.5336708,0,49420,0,32,126000,80,6.5,2,53,1999,2029,High,2,Good
131,670.5336708,0,30660,0,8,80000,46,6.75,2,19,1999,2029,Medium,1,Good
132,670.5336708,0,30660,0,37,72000,58,6.875,1,57,1999,2029,High,2,Good
133,670.5336708,0,30660,0,30,210000,63,6.75,2,22,1999,2029,High,1,Good
134,670.5336708,0,30660,0,27,51000,69,7.125,1,38,1999,2029,High,1,Good
135,670.5336708,0,30660,0,44,100000,72,6.75,1,159,1999,2029,High,4,Good
136,670.5336708,0,30660,0,55,46000,75,7.25,1,81,1999,2029,High,2,Good
137,670.5336708,0,30660,0,20,96000,77,6.875,2,15,1999,2029,High,1,Good
138,670.5336708,0,30660,0,34,225000,78,6.75,1,55,1999,2029,High,2,Good
139,670.5336708,0,30660,0,20,156000,79,6.5,1,49,1999,2029,High,2,Good
140,670.5336708,0,30660,0,33.44383618,45000,80,7,1,191,1999,2029,High,4,Good
141,670.5336708,0,30660,0,37,65000,80,7,1,29,1999,2029,High,1,Good
142,670.5336708,0,30660,0,39,83000,80,6.75,1,45,1999,2029,High,1,Good
143,670.5336708,0,30660,0,43,235000,80,6.75,1,53,1999,2029,High,2,Good
144,670.5336708,0,30660,12,38,113000,83,6.75,1,194,1999,2029,High,5,Good
145,670.5336708,0,30660,12,15,139000,85,7,1,48,1999,2029,High,2,Good
146,670.5336708,0,30660,25,28,74000,87,7.1,2,64,1999,2029,High,2,Good
147,670.5336708,0,30660,25,15,68000,90,6.875,2,31,1999,2029,High,1,Good
148,670.5336708,0,30660,25,16,69000,90,6.75,2,54,1999,2029,High,2,Good
149,670.5336708,0,30660,25,21,118000,90,6.75,1,46,1999,2029,High,1,Good
150,670.5336708,0,30660,30,24,72000,94,7,1,54,1999,2029,High,2,Good
151,670.5336708,0,30660,30,20,76000,95,6.875,2,46,1999,2029,High,1,Good
152,670.5336708,0,30660,30,24,83000,95,6.5,1,114,1999,2029,High,3,Good
153,670.5336708,0,30660,30,27,104000,95,6.875,2,54,1999,2029,High,2,Good
154,670.5336708,0,30660,30,31,63000,95,6.875,2,211,1999,2029,High,5,Good
155,670.5336708,0,30660,30,32,238000,95,6.875,1,59,1999,2029,High,2,Good
156,670.5336708,0,30660,30,36,142000,95,6.625,2,45,1999,2029,High,1,Good
157,670.5336708,0,30660,30,37,73000,95,6.5,1,100,1999,2029,High,3,Good
158,670.5336708,0,30660,30,39,94000,95,6.25,2,134,1999,2029,High,3,Good
159,670.5336708,0,30660,30,40,57000,95,7,1,38,1999,2029,High,1,Good
160,670.5336708,0,30660,30,42,74000,95,6.875,1,47,1999,2029,High,1,Good
161,670.5336708,0,11340,30,46,52000,93,7.125,1,64,1999,2029,High,2,Good
162,670.5336708,0,12060,0,22,94000,70,6.625,1,55,1999,2029,High,2,Good
163,670.5336708,0,12060,12,24,143000,80,6.625,1,43,1999,2029,High,1,Good
164,670.5336708,0,12100,0,35,27000,70,7.5,1,22,1999,2029,High,1,Good
165,670.5336708,0,12420,0,36,135000,69,7,1,48,1999,2029,High,2,Good
166,670.5336708,0,12420,0,36,217000,70,7,1,49,1999,2029,High,2,Good
167,670.5336708,0,14500,0,33.44383618,200000,60,7.5,1,10,1999,2029,High,1,Good
168,670.5336708,0,15764,12,17,106000,85,6.375,1,54,1999,2029,High,2,Good
169,670.5336708,0,16974,0,22,115000,80,6.875,1,53,1999,2029,High,2,Good
170,670.5336708,0,16974,25,13,64000,86,6.875,1,74,1999,2029,High,2,Good
171,670.5336708,0,17820,25,53,149000,90,8.5,2,52,1999,2029,High,2,Good
172,670.5336708,0,17860,25,14,74000,90,6.875,1,9,1999,2029,High,1,Good
173,670.5336708,0,19340,25,10,36000,90,6.75,1,18,1999,2029,High,1,Good
174,670.5336708,0,19740,0,16,39000,50,7,1,212,1999,2029,High,5,Good
175,670.5336708,0,19804,25,33,134000,89,6.875,1,27,1999,2029,High,1,Good
176,670.5336708,0,20500,0,33.44383618,227000,80,6.625,1,45,1999,2029,High,1,Good
177,670.5336708,0,20764,25,16,173000,90,6.75,1,6,1999,2029,High,1,Good
178,670.5336708,0,22744,0,19,63000,45,7.125,2,34,1999,2029,Medium,1,Good
179,670.5336708,0,22744,0,33.44383618,240000,79,6.875,1,30,1999,2029,High,1,Good
180,670.5336708,0,22744,25,22,38000,90,7,1,77,1999,2029,High,2,Good
181,670.5336708,0,28140,25,30,74000,90,7,1,47,1999,2029,High,1,Good
182,670.5336708,0,29740,0,12,108000,71,6.875,2,24,1999,2029,High,1,Good
183,670.5336708,0,31084,0,16,145000,77,6.875,1,43,1999,2029,High,1,Good
184,670.5336708,0,33124,0,38,47000,75,7,1,51,1999,2029,High,2,Good
185,670.5336708,0,33124,0,40,100000,75,7.5,1,170,1999,2029,High,4,Good
186,670.5336708,0,33124,0,33.44383618,120000,70,7.125,2,18,1999,2029,High,1,Good
187,670.5336708,0,33124,25,34,117000,89,6.75,2,122,1999,2029,High,3,Good
188,670.5336708,0,33460,12,30,98000,80,7.75,1,33,1999,2029,High,1,Good
189,670.5336708,0,34820,0,25,47000,80,7.125,1,83,1999,2029,High,2,Good
190,670.5336708,0,35644,0,33.44383618,155000,68,7,1,51,1999,2029,High,2,Good
191,670.5336708,0,35644,0,13,140000,72,7.125,1,42,1999,2029,High,1,Good
192,670.5336708,0,36084,0,16,106000,61,6.875,1,47,1999,2029,High,1,Good
193,670.5336708,0,36500,25,32,71000,86,7,1,69,1999,2029,High,2,Good
194,670.5336708,0,36740,35,41,164000,90,7,1,72,1999,2029,High,2,Good
195,670.5336708,0,37460,0,33.44383618,200000,80,6.625,1,37,1999,2029,High,1,Good
196,670.5336708,0,38060,0,33.44383618,86000,80,7,1,22,1999,2029,High,1,Good
197,670.5336708,0,38060,30,9,45000,90,7.25,2,15,1999,2029,High,1,Good
198,670.5336708,0,40900,0,31,31000,42,7.25,2,206,1999,2029,Medium,5,Good
199,670.5336708,0,40900,0,29,83000,59,7,1,148,1999,2029,High,4,Good
200,670.5336708,0,41740,0,33,140000,61,7.25,1,11,1999,2029,High,1,Good
201,670.5336708,0,42044,0,14,149000,71,6.875,1,51,1999,2029,High,2,Good
202,670.5336708,0,42044,12,18,112000,83,6.375,1,47,1999,2029,High,1,Good
203,670.5336708,0,42060,12,23,110000,85,7.125,1,51,1999,2029,High,2,Good
204,670.5336708,0,42644,0,27,234000,79,6.75,2,50,1999,2029,High,2,Good
205,670.5336708,0,42644,0,20,66000,80,6.5,1,153,1999,2029,High,4,Good
206,670.5336708,0,43900,0,33.44383618,109000,77,6.875,1,39,1999,2029,High,1,Good
207,670.5336708,0,46060,0,41,45000,57,6.875,1,36,1999,2029,High,1,Good
208,670.5336708,0,47260,0,9,73000,70,6.875,1,42,1999,2029,High,1,Good
209,670.5336708,0,48424,25,25,86000,87,7,1,101,1999,2029,High,3,Good
210,670.5336708,0,48620,25,41,74000,90,7.5,1,180,1999,2029,High,4,Good
211,670.5336708,0,30660,0,34,28000,54,7.375,2,211,1999,2029,High,5,Good
212,670.5336708,0,30660,0,33.44383618,70000,55,6.625,1,8,1999,2029,High,1,Good
213,670.5336708,0,30660,0,33.44383618,136000,61,6.75,2,32,1999,2029,High,1,Good
214,670.5336708,0,30660,0,27,63000,69,6.875,1,5,1999,2029,High,1,Good
215,670.5336708,0,30660,0,15,56000,75,7.125,1,53,1999,2029,High,2,Good
216,670.5336708,0,30660,0,25,90000,75,7,2,207,1999,2029,High,5,Good
217,670.5336708,0,30660,0,32,80000,80,6.625,1,49,1999,2029,High,2,Good
218,670.5336708,0,30660,0,33.44383618,184000,80,7.75,1,7,1999,2029,High,1,Good
219,670.5336708,0,30660,30,35,113000,95,6.875,2,51,1999,2029,High,2,Good
220,670.5336708,1,12060,25,25,82000,85,6.625,2,128,1999,2029,High,3,Good
221,670.5336708,1,12580,25,19,190000,90,6.5,2,41,1999,2029,High,1,Good
222,670.5336708,1,14484,30,33,133000,95,7.5,1,28,1999,2029,High,1,Good
